,speed,acceleration,stp,BinNo
522,0.0,0.0,0.0,1
523,0.0,0.0,0.0,1
524,0.0,0.0,0.0,1
525,0.0,0.0,0.0,1
526,0.0,0.0,0.0,1
527,0.0,0.0,0.0,1
528,0.0,0.0,0.0,1
529,0.0,0.0,0.0,1
530,0.0,0.0,0.0,1
531,0.0,0.0,0.0,1
532,0.0,0.0,0.0,1
533,0.0,0.0,0.0,1
534,0.0,0.0,0.0,1
535,0.0,0.0,0.0,1
536,0.0,0.0,0.0,1
537,0.0,0.0,0.0,1
538,0.0,0.0,0.0,1
539,0.0,0.0,0.0,1
540,0.0,0.0,0.0,1
541,0.0,0.0,0.0,1
542,0.0,0.0,0.0,1
543,0.0,0.0,0.0,1
544,2.36,2.36,0.0,12
545,3.94,1.58,0.0,12
546,5.31,1.37,0.0,12
547,8.26,2.95,5.311912348200323,13
548,9.42,1.16,0.0,12
549,11.15,1.73,4.550167469199473,13
550,12.73,1.58,4.834483785931388,13
551,14.78,2.05,6.9727055755379155,14
552,16.05,1.27,5.161372206189105,13
553,17.41,1.36,5.916742546640752,13
554,19.72,2.31,10.358256717093154,15
555,21.52,1.8,9.210124092281562,15
556,23.35,1.83,10.164794945568058,15
557,24.83,1.48,9.160761837202928,15
558,25.99,1.16,8.008258240845702,24
559,27.15,1.16,8.397050623426209,24
560,28.31,1.16,8.789950819011853,24
561,29.46,1.15,9.126690514980389,25
562,30.62,1.16,9.585294698994193,25
563,31.78,1.16,9.991530685028405,25
564,32.94,1.16,10.402575006138242,25
565,34.18,1.24,11.376551509497126,25
566,36.25,2.07,17.98608994605168,27
567,37.41,1.16,12.034679288526927,27
568,38.56,1.15,12.393154556885944,27
569,39.72,1.16,12.910421808185614,27
570,40.0,0.28,6.20745123989318,24
571,40.0,0.0,4.040406188964337,23
572,40.0,0.0,4.040406188964337,23
573,40.0,0.0,4.040406188964337,23
574,40.0,0.0,4.040406188964337,23
575,40.0,0.0,4.040406188964337,23
576,40.82,0.82,10.650377488518053,25
577,41.0,0.18,5.631580358855636,23
578,41.0,0.0,4.203652459225692,23
579,41.3,0.3,6.650813777940127,24
580,42.0,0.7,10.06000207080765,25
581,42.0,0.0,4.371508812119435,23
