HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK
3.08	23.35	11.7	0	0	0	8.7	18.2	7.4622	55	29.1	1.8	20	4
5.63	21.44	9.4	4.3	0	0	8.5	18.4	6.6836	55	29.6	2.2	20	5
4	19.34	6.8	9.1	0	0.2	8	18.4	6.8965	55	30.2	2.6	17.1	6
4	16.64	4.1	14.5	0	0.3	7.9	18.4	7.1094	55	31	2.6	12.7	7
3.34	13.18	2	15.2	0.64	0.4	7	18.4	7.9199	55	31.7	2.6	8.2	8
1.37	9.97	0.2	14.7	1.8	0.4	0.6	18.5	8.7305	55	32.5	2.2	3.8	9
1	6.82	0	13.7	2.95	0.3	0	18.9	8.2188	55	33.4	1.8	0	9
0	4.08	0	13.8	3.89	0.2	0	19.4	7.707	55	34	1.5	0	10
0	1.6	0	14.3	2.46	0	0	20.1	7.4727	55	34.7	1.1	0	11
0	0.25	0	15.7	1	0	0	20.8	7.2383	55	35.4	0.4	0	12
0	0.1	0	14.5	0.42	0	0	21.2	7.9238	55	35.7	0.7	0	13
0	0	0	11.3	0	0.2	0	21.2	8.6094	55	36	0.4	0	13
0	0	0	7.6	0	0.5	0	20.6	8.7305	55	36.2	0.4	0	14
0	0	0	3.4	0	1.1	0	19.5	8.8516	55	36.2	0	0.7	15
0.23	0	0	2.8	0	2.3	0	18.1	9.0332	55	36.2	0	3	16
1.39	0	0	0.8	0	4.1	0	16.6	9.2148	55	36.2	0	5.2	16
2	0	0	0.1	0	6.5	0	15.3	9.584	55	36.2	0	7.4	17
