	HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK	Custom Input
122	26.17	4.61	19.1	0.0	0.0	19.4	2.1	16.2	0.0	52.1	24.2	30.3	5.2	20.0	0.0
123	23.39	3.01	21.1	0.0	0.0	17.5	3.0	16.9	0.0	52.0	21.8	30.3	7.4	19.0	0.0
124	21.46	2.02	22.8	0.0	0.0	14.9	4.5	17.2	0.0	51.8	20.3	31.1	9.5	17.0	0.0
125	17.28	1.29	23.4	0.0	0.0	12.0	6.0	16.9	0.0	51.7	20.0	31.1	11.5	16.0	0.0
126	15.83	0.56	23.8	0.0	0.0	9.0	9.1	16.4	0.0	51.5	20.1	31.1	13.4	15.0	0.0
127	13.76	0.0	22.4	0.0	0.0	6.1	9.8	15.8	0.0	51.3	20.7	31.4	15.3	13.0	0.0
128	12.6	0.0	20.7	0.0	0.0	3.8	10.9	14.9	0.0	51.2	21.7	31.4	17.0	12.0	0.0
129	10.33	0.0	18.9	0.0	0.0	2.2	11.7	14.0	0.0	51.0	23.0	31.8	18.8	11.0	0.0
130	8.28	0.0	16.2	0.0	0.0	1.0	12.8	13.0	0.0	50.8	24.1	31.8	20.0	9.0	0.0
131	5.38	0.0	14.6	0.0	0.0	0.3	13.7	11.9	0.0	50.5	25.1	31.8	20.0	8.0	0.0
132	2.91	0.0	13.1	0.0	0.78	0.0	14.1	11.0	0.0	50.3	25.7	32.2	20.0	7.0	0.0
133	0.0	0.0	9.9	0.0	1.0	0.0	13.6	10.2	0.0	50.0	26.1	32.2	20.0	5.0	0.0
134	0.0	0.0	6.3	0.0	2.19	0.0	12.0	9.6	0.0	49.8	25.7	32.2	20.0	4.0	0.0
135	0.0	0.0	4.2	0.0	3.5	0.0	11.8	8.9	0.0	49.5	24.2	32.2	20.0	3.0	0.0
136	0.0	0.0	2.2	0.0	1.59	0.0	13.4	8.2	0.0	49.3	22.0	32.5	20.0	1.0	0.0
137	0.0	0.0	1.1	0.0	1.56	0.0	12.8	7.1	0.0	49.0	18.7	32.9	20.0	0.0	0.0
138	0.0	0.0	0.1	0.0	2.0	0.0	12.8	6.0	0.0	48.8	15.1	32.5	20.0	0.0	0.0
139	0.0	0.0	0.0	0.0	2.88	0.0	11.9	5.2	0.0	48.5	11.1	32.5	20.0	0.0	0.0
140	0.0	0.19	0.0	0.0	2.07	0.0	12.3	5.2	0.0	48.3	7.5	32.2	20.0	0.0	0.0
141	0.0	1.25	0.0	0.0	3.61	0.1	11.8	5.8	0.0	48.0	4.5	31.4	20.0	0.0	0.0
142	0.0	3.29	0.0	0.0	2.0	0.7	11.7	6.7	0.0	47.8	2.4	31.4	20.0	0.0	0.0
143	0.0	5.97	0.0	0.0	3.02	2.0	11.8	7.6	0.0	47.5	0.8	31.1	20.0	0.0	0.0
144	0.0	8.57	0.0	0.0	2.67	4.0	14.1	8.3	0.0	47.3	0.2	31.1	20.0	0.0	0.0
145	0.0	10.25	0.0	0.0	2.82	6.5	14.2	9.3	0.0	47.0	0.0	31.1	20.0	0.0	0.0
146	0.0	11.7	0.0	0.0	1.04	9.1	13.6	10.2	0.0	46.8	0.0	30.7	20.0	0.0	0.0
147	0.0	12.95	0.0	0.0	0.0	11.3	12.9	11.0	0.0	46.5	0.0	30.7	20.0	0.0	0.0
148	0.0	14.05	0.0	0.0	0.0	12.7	13.1	11.9	0.0	46.3	0.0	30.3	20.0	0.0	0.0
149	0.0	15.04	0.0	0.0	0.0	13.4	12.3	12.7	0.0	46.0	0.0	29.6	15.3	0.0	0.0
150	0.0	15.5	0.0	0.0	0.61	13.9	11.7	13.3	0.0	45.8	0.0	28.9	10.9	0.0	0.0
151	0.0	15.55	0.0	0.0	3.31	14.4	11.4	13.8	0.78516	45.5	0.0	27.8	6.5	0.0	0.0
152	0.0	15.57	0.0	0.0	1.22	15.2	11.1	14.3	1.582	45.3	0.0	26.7	2.0	1.0	0.0
153	0.0	15.98	0.0	0.0	0.0	16.6	10.5	15.0	4.7031	45.0	0.0	25.9	0.0	2.0	0.0
154	0.0	16.32	0.0	0.0	0.0	18.4	8.4	16.0	7.8242	44.8	0.0	25.2	0.0	3.0	0.0
155	0.0	16.47	0.0	0.0	0.0	20.3	1.8	17.1	8.9141	44.5	0.0	25.2	0.0	4.0	0.0
156	0.0	16.23	0.0	0.0	0.0	22.1	0.8	18.1	10.0039	44.3	0.0	24.8	0.0	4.0	0.0
157	0.0	15.7	0.0	0.0	0.0	23.2	0.6	18.9	10.1895	44.0	0.0	25.2	0.0	5.0	0.0
158	0.0	14.69	0.0	0.0	0.0	23.3	0.0	19.9	10.375	43.8	0.0	25.2	0.0	6.0	0.0
159	0.0	13.89	1.5	0.0	0.0	22.1	0.0	20.9	10.793	43.5	0.0	24.8	0.0	7.0	0.0
160	0.0	13.04	3.3	0.0	0.0	19.9	0.0	22.0	11.2109	43.3	0.0	25.2	1.6	8.0	0.0
161	0.0	10.81	4.9	0.0	0.0	17.2	0.0	22.8	11.6289	43.0	0.0	24.8	3.9	9.0	0.0
162	0.0	7.43	6.8	0.0	0.0	14.3	0.0	23.7	11.2305	42.8	0.0	24.8	6.1	9.0	0.0
163	0.0	3.53	8.6	0.0	0.0	11.5	0.0	24.4	10.832	42.5	0.0	24.8	8.2	10.0	0.0
164	0.0	1.59	10.3	0.0	0.0	8.9	0.0	24.9	10.3496	42.3	0.0	24.8	10.3	11.0	0.0
165	0.0	0.54	11.6	0.0	0.0	6.8	0.0	25.2	9.8672	42.0	0.0	25.2	12.2	12.0	0.0
166	0.0	0.0	11.8	0.0	0.0	5.0	0.0	25.4	10.0273	41.8	0.0	25.6	14.1	13.0	0.0
167	0.0	0.0	11.8	0.0	0.0	3.4	0.0	25.4	10.1875	41.5	0.0	25.2	16.0	13.0	0.0
168	0.0	0.0	11.6	0.0	0.44	2.1	0.0	25.5	9.4102	41.3	0.0	25.9	17.7	14.0	0.0
169	0.0	0.0	11.3	0.0	1.6	1.2	0.0	25.4	8.6328	41.0	0.0	26.3	19.5	15.0	0.0
170	0.0	0.0	11.5	0.0	2.0	0.6	0.0	25.4	7.7539	40.8	0.0	26.3	20.0	16.0	0.0
171	0.0	0.0	11.5	0.0	3.83	0.2	0.0	25.4	6.875	40.5	0.0	27.0	20.0	16.0	0.0
172	0.0	0.0	11.6	0.0	1.0	0.0	0.0	25.6	7.4434	40.3	0.0	27.0	20.0	17.0	0.0
173	0.0	0.0	9.1	0.0	0.77	0.0	3.3	25.9	8.0117	40.0	0.0	27.0	20.0	18.0	0.0
174	0.51	0.0	6.2	0.0	0.0	0.0	6.7	26.3	9.2188	40.0	0.0	27.0	20.0	19.0	0.0
175	0.33	0.0	4.1	0.0	0.0	0.0	10.4	26.5	10.4258	39.9	0.0	27.0	20.0	19.0	0.0
176	0.0	0.0	2.9	0.0	0.0	0.0	13.1	26.3	11.2435	39.9	0.0	27.4	20.0	20.0	0.0
177	0.0	0.0	3.6	0.0	0.0	0.0	14.4	25.4	12.0612	39.8	0.0	27.0	20.0	21.0	0.0
178	0.0	0.0	4.6	0.0	0.0	0.0	16.0	23.8	12.8789	39.8	0.0	27.4	20.0	21.0	0.0
179	0.0	0.1	5.5	0.0	0.0	0.0	17.4	21.7	13.1953	39.7	0.0	27.4	20.0	22.0	0.0
180	0.0	0.97	4.5	0.0	0.0	0.0	18.9	19.6	13.5117	39.7	0.0	28.1	20.0	23.0	0.0
181	0.0	4.1	2.2	0.0	0.0	0.0	19.8	17.2	13.3086	39.6	0.0	28.5	20.0	23.0	0.0
182	0.0	7.67	1.5	0.0	0.0	0.0	20.9	14.7	13.1055	39.6	0.0	29.2	20.0	24.0	0.0
183	0.0	10.5	1.0	0.0	0.0	0.0	22.1	11.9	11.2207	39.5	0.0	29.6	20.0	25.0	0.0
184	0.0	13.15	1.8	0.0	0.0	0.0	23.3	9.2	9.3359	39.5	0.0	30.3	20.0	25.0	0.0
185	0.0	15.57	3.1	0.0	0.0	0.0	23.7	6.9	7.0957	39.4	0.0	31.4	20.0	25.0	0.0
186	0.0	17.64	4.7	4.3	0.0	0.0	21.6	5.0	4.8555	39.4	0.0	31.8	20.0	25.0	0.0
187	0.0	19.46	5.9	9.1	0.0	0.0	19.5	3.5	3.2266	39.3	0.4	32.2	20.0	25.0	0.0
188	0.0	21.048	8.4	10.9	0.0	0.0	17.1	2.3	1.5977	39.3	1.2	33.2	18.0	25.0	0.0
189	0.0	22.45	9.6	10.6	0.0	0.0	11.3	1.4	1.6875	39.2	2.5	34.0	13.6	25.0	0.0
190	0.0	23.82	10.8	9.9	0.0	0.0	8.5	0.8	1.7773	39.2	4.5	34.3	9.1	25.0	0.0
191	0.0	25.03	11.0	6.7	0.94	0.0	4.5	0.4	2.1953	39.1	7.1	35.4	4.7	25.0	0.0
192	0.0	26.23	10.7	3.3	0.0	0.2	0.6	0.3	2.6133	39.1	9.6	35.8	0.2	25.0	0.0
193	0.0	27.47	10.6	2.8	0.0	1.1	0.0	0.0	3.0313	39.0	12.3	36.9	0.0	25.0	0.0
194	0.0	28.58	10.5	0.3	0.0	2.7	0.0	0.0	4.7188	39.0	14.6	37.3	0.0	25.0	0.0
195	0.0	29.64	10.3	0.0	0.0	4.9	0.0	0.0	6.4063	38.9	16.7	37.6	0.0	25.0	0.0
196	0.0	30.61	10.1	0.0	0.0	7.3	0.0	0.0	6.5684	38.9	18.7	37.3	0.0	25.0	0.0
197	0.13	31.62	10.2	0.0	0.0	9.7	3.5	0.0	6.7305	38.8	20.7	37.6	0.0	25.0	0.0
198	0.71	32.59	9.3	0.0	0.17	11.7	4.6	0.0	5.252	38.9	22.6	36.5	0.0	25.0	0.0
199	0.0	33.03	7.8	0.0	1.32	13.1	3.8	0.0	3.7734	39.0	24.5	36.9	0.2	25.0	0.0
200	0.0	31.78	6.7	0.0	2.0	13.9	1.7	0.0	2.4063	39.0	26.2	36.2	2.5	25.0	0.0
201	0.0	29.22	7.2	0.0	1.36	14.6	3.7	0.0	1.0391	39.1	27.7	36.2	4.8	25.0	0.0
202	0.0	26.44	8.2	0.0	1.0	15.0	4.1	0.0	0.51953	39.2	29.3	35.8	7.0	25.0	0.0
203	4.15	23.16	9.5	0.0	1.0	15.5	3.8	0.3	0.0	39.3	30.8	36.2	9.0	25.0	0.0
204	6.0	19.3	10.8	0.0	2.11	16.1	3.7	0.0	0.0	39.4	32.2	36.2	11.1	25.0	0.0
205	6.0	15.8	11.9	0.0	3.0	16.7	3.7	0.0	0.0	39.4	33.4	35.8	13.0	25.0	0.0
206	6.0	12.55	12.7	0.0	2.15	17.3	3.7	0.0	0.0	39.5	34.2	35.8	14.9	25.0	0.0
207	5.3	8.14	13.4	0.0	1.0	17.9	3.7	0.0	0.0	39.6	34.5	36.2	16.7	25.0	0.0
208	4.14	4.51	14.1	0.0	0.26	18.4	3.5	0.0	0.0	39.7	34.0	35.8	18.4	25.0	0.0
